,CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
90,Portugal,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",40,
91,Portugal,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",13,
92,Romania,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",2,
93,Romania,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",5,
94,Romania,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",32,
95,Romania,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",61,
96,Sweden,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",12,
97,Sweden,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",42,
98,Sweden,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",35,
99,Sweden,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",12,
100,Slovenia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",5,
101,Slovenia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",25,
102,Slovenia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",48,
103,Slovenia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",22,
104,Slovakia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",2,
105,Slovakia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",7,
106,Slovakia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",30,
107,Slovakia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",62,
108,United Kingdom,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",8,
109,United Kingdom,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",32,
110,United Kingdom,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",44,
111,United Kingdom,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",16,
112,EU-28,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",4,
113,EU-28,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",23,
114,EU-28,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",40,
115,EU-28,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",32,
116,North Macedonia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",3,‡
117,North Macedonia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",14,
118,North Macedonia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",44,
119,North Macedonia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",38,
120,Serbia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, definitely",2,
121,Serbia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"Yes, probably",14,
122,Serbia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, probably not",41,
123,Serbia,All,All,DEXgov_resp,Does the government in the country where you live respond adequately to the safety needs of LGBTI people?,"No, definitely not",43,
124,Austria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,4,
125,Austria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,13,
126,Austria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,28,
127,Austria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,46,
128,Austria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,8,
129,Austria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,‡
130,Belgium,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,8,
131,Belgium,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,24,
132,Belgium,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,37,
133,Belgium,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,26,
134,Belgium,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,5,
135,Belgium,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,‡
136,Bulgaria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,18,
137,Bulgaria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,20,
138,Bulgaria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,28,
139,Bulgaria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,30,
140,Bulgaria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,4,
141,Bulgaria,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,0,‡
142,Cyprus,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,6,
143,Cyprus,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,10,
144,Cyprus,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,25,
145,Cyprus,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,52,
146,Cyprus,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,7,
147,Cyprus,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,‡
148,Czechia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,3,
149,Czechia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,9,
150,Czechia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,28,
151,Czechia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,45,
152,Czechia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,15,
153,Czechia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,‡
154,Germany,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,6,
155,Germany,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,18,
156,Germany,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,30,
157,Germany,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,38,
158,Germany,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,7,
159,Germany,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,
160,Denmark,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,4,
161,Denmark,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,13,
162,Denmark,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,29,
163,Denmark,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,40,
164,Denmark,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,14,
165,Denmark,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,‡
166,Estonia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,10,
167,Estonia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,25,
168,Estonia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,22,
169,Estonia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,36,
170,Estonia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,5,
171,Estonia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,‡
172,Greece,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,7,
173,Greece,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,11,
174,Greece,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,25,
175,Greece,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,49,
176,Greece,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,8,
177,Greece,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,0,‡
178,Spain,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,12,
179,Spain,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,25,
180,Spain,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,20,
181,Spain,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,34,
182,Spain,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,9,
183,Spain,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,0,
184,Finland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,2,
185,Finland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,9,
186,Finland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,19,
187,Finland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,52,
188,Finland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,18,
189,Finland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,0,
190,France,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,29,
191,France,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,25,
192,France,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,23,
193,France,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,19,
194,France,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,3,
195,France,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,1,
196,Croatia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,9,
197,Croatia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,15,
198,Croatia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,31,
199,Croatia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,39,
200,Croatia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,6,
201,Croatia,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,0,‡
202,Hungary,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,17,
203,Hungary,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,24,
204,Hungary,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,25,
205,Hungary,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,31,
206,Hungary,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a lot,3,
207,Hungary,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Do not know,0,‡
208,Ireland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a lot,3,
209,Ireland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Increased a little,7,
210,Ireland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Stayed the same,12,
211,Ireland,All,All,DEXind_b1,"In the past five years has prejudice and intolerance against LGBTI people increased, stayed the same or decreased in the country where you live?",Decreased a little,41,
